section,conditioned_on,cell_state,distance_coordinate_units,distance_um,cooccurrence_probability_ratio
26dpb_p2,Fib_K14,SAC_SG_Progenitor,3413.965394883941,1706.9826974419705,0.9318234853887746
26dpb_p2,Fib_K14,SAC_SG_Progenitor,3607.0094885589924,1803.5047442794962,0.9305375845284642
26dpb_p2,Fib_K14,SAC_SG_Progenitor,3800.053582234044,1900.026791117022,0.9279022957996559
26dpb_p2,Fib_K14,SAC_SG_Progenitor,3993.0976759090954,1996.5488379545477,0.9270941431988609
26dpb_p2,Fib_K14,SAC_SG_Progenitor,4186.1417695841465,2093.0708847920732,0.9277321923860762
26dpb_p2,Fib_K14,SAC_SG_Progenitor,4379.185863259198,2189.592931629599,0.9289340143137736
26dpb_p2,Fib_K14,SAC_SG_Progenitor,4572.2299569342495,2286.1149784671247,0.9305474769339801
26dpb_p2,Fib_K14,SAC_SG_Progenitor,4765.274050609301,2382.6370253046507,0.9324593993695112
26dpb_p2,Fib_K14,SAC_SG_Progenitor,4958.3181442843525,2479.1590721421762,0.935190219647675
26dpb_p2,Fib_K14,SAC_SG_Progenitor,5151.3622379594035,2575.6811189797018,0.9382103287462641
26dpb_p2,Fib_K14,SAC_SG_Progenitor,5344.4063316344555,2672.2031658172277,0.9411823679511352
26dpb_p2,Fib_K14,SAC_SG_Progenitor,5537.450425309507,2768.7252126547537,0.9440962573408718
26dpb_p2,Fib_K14,SAC_SG_Progenitor,5730.494518984558,2865.247259492279,0.9468228455706038
26dpb_p2,Fib_K14,SAC_SG_Progenitor,5923.5386126596095,2961.7693063298047,0.9490823456976439
26dpb_p2,Fib_K14,SAC_SG_Progenitor,6116.582706334661,3058.2913531673307,0.9512129228674475
26dpb_p2,Fib_K14,SAC_SG_Progenitor,6309.626800009713,3154.8134000048567,0.9533211230779896
26dpb_p2,Fib_K14,SAC_SG_Progenitor,6502.670893684764,3251.335446842382,0.9555263775502854
26dpb_p2,Fib_K14,SAC_SG_Progenitor,6695.7149873598155,3347.8574936799077,0.9578728589577216
26dpb_p2,Fib_K14,SAC_SG_Progenitor,6888.759081034867,3444.3795405174337,0.9602290143372657
26dpb_p2,Fib_K14,SAC_SG_Progenitor,7081.803174709919,3540.9015873549597,0.9627142303256598
26dpb_p2,Fib_K14,SAC_SG_Progenitor,7274.84726838497,3637.423634192485,0.9650367568389712
26dpb_p2,Fib_K14,SAC_SG_Progenitor,7467.8913620600215,3733.9456810300107,0.9671782842895598
26dpb_p2,Fib_K14,SAC_SG_Progenitor,7660.935455735073,3830.4677278675367,0.9690558317223098
26dpb_p2,Fib_K14,SAC_SG_Progenitor,7853.979549410125,3926.9897747050627,0.9708192364051739
26dpb_p2,Fib_K14,SAC_SG_Progenitor,8047.023643085176,4023.511821542588,0.9723520883420317
26dpb_p2,Fib_K14,SAC_SG_Progenitor,8240.067736760227,4120.033868380114,0.9736868570037003
26dpb_p2,Fib_K14,SAC_SG_Progenitor,8433.11183043528,4216.55591521764,0.9750649953170396
